30, Private, 398827, HS-grad, 9, Married-AF-spouse, Adm-clerical, Husband, White, Male, 0, 0, 60, United-States, <=50K
21, Private, 211385, Assoc-acdm, 12, Never-married, Other-service, Not-in-family, Black, Male, 0, 0, 35, Jamaica, <=50K
32, Private, 168854, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 54, United-States, <=50K
32, Self-emp-not-inc, 420895, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 47, United-States, <=50K
26, Local-gov, 219760, HS-grad, 9, Never-married, Other-service, Other-relative, White, Male, 0, 0, 16, United-States, <=50K
46, Private, 205504, HS-grad, 9, Divorced, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 20, United-States, <=50K
25, Private, 208117, Bachelors, 13, Never-married, Prof-specialty, Other-relative, White, Male, 0, 0, 40, United-States, <=50K
31, Private, 44464, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 1564, 60, United-States, >50K
23, Private, 167692, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 20, United-States, <=50K
46, Private, 117502, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, United-States, <=50K
65, Self-emp-not-inc, 22907, 7th-8th, 4, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, <=50K
27, Federal-gov, 128059, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, <=50K
43, Private, 177905, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 3908, 0, 40, United-States, <=50K
31, State-gov, 111843, Assoc-acdm, 12, Separated, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
30, Private, 143766, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 30, United-States, <=50K
49, Private, 402462, Bachelors, 13, Married-spouse-absent, Transport-moving, Unmarried, White, Male, 0, 0, 30, Columbia, <=50K
35, Private, 297485, Bachelors, 13, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
54, Self-emp-not-inc, 28186, Bachelors, 13, Divorced, Farming-fishing, Not-in-family, White, Male, 27828, 0, 50, United-States, >50K
35, Private, 255635, 9th, 5, Married-civ-spouse, Craft-repair, Husband, Other, Male, 0, 0, 40, Mexico, <=50K
31, Local-gov, 357954, Assoc-acdm, 12, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 20, United-States, <=50K
28, Local-gov, 201099, HS-grad, 9, Never-married, Transport-moving, Own-child, Black, Female, 0, 0, 40, United-States, <=50K
43, Private, 413297, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, <=50K
50, Self-emp-not-inc, 32372, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 30, United-States, <=50K
32, Private, 183356, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
25, Local-gov, 203408, Some-college, 10, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
25, Private, 120450, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
25, Private, 216583, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 43, United-States, <=50K
24, Private, 222005, HS-grad, 9, Never-married, Other-service, Other-relative, White, Male, 0, 0, 30, United-States, <=50K
54, Private, 161691, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 2559, 40, United-States, >50K
28, Private, 150309, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male, 0, 0, 45, United-States, <=50K
26, Private, 214413, Some-college, 10, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
39, Private, 51264, 11th, 7, Divorced, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K
38, Private, 278924, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1887, 50, United-States, >50K
34, Self-emp-not-inc, 31740, HS-grad, 9, Never-married, Farming-fishing, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
56, Private, 192869, Masters, 14, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1977, 44, United-States, >50K
19, Private, 292511, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 25, United-States, <=50K
36, Private, 207789, HS-grad, 9, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 52, United-States, <=50K
29, Private, 136277, 10th, 6, Never-married, Other-service, Own-child, Black, Female, 0, 0, 32, United-States, <=50K
38, Private, 172538, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 50, United-States, >50K
47, Federal-gov, 380127, HS-grad, 9, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
25, Private, 144301, Some-college, 10, Never-married, Sales, Own-child, White, Male, 0, 0, 42, United-States, <=50K
32, Private, 54782, Some-college, 10, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 40, United-States, <=50K
39, Private, 144169, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K
35, Private, 191628, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
44, Private, 187322, Bachelors, 13, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
69, ?, 163595, HS-grad, 9, Widowed, ?, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K
54, Private, 142169, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, <=50K
64, ?, 338355, Assoc-voc, 11, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 15, United-States, <=50K
30, Private, 91145, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
32, Private, 113838, Some-college, 10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
22, Private, 214399, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 15, United-States, <=50K
40, Self-emp-not-inc, 117721, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 60, United-States, <=50K
37, Private, 189382, Assoc-voc, 11, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 38, United-States, <=50K
33, Private, 433375, 1st-4th, 2, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 35, Mexico, <=50K
43, State-gov, 27661, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
17, ?, 67808, 10th, 6, Never-married, ?, Own-child, White, Male, 0, 0, 40, United-States, <=50K
36, Federal-gov, 359249, Some-college, 10, Separated, Adm-clerical, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
48, Self-emp-inc, 181307, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, United-States, >50K
45, ?, 98265, HS-grad, 9, Divorced, ?, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
33, Private, 287878, Some-college, 10, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 26, United-States, <=50K
55, Private, 145214, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
64, Federal-gov, 161926, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 8, United-States, <=50K
52, Private, 162238, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 38, United-States, >50K
33, Private, 34975, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, <=50K
51, Private, 216475, Bachelors, 13, Never-married, Sales, Not-in-family, White, Female, 0, 1564, 43, United-States, >50K
28, Private, 191027, Assoc-acdm, 12, Separated, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
44, Private, 198096, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 7688, 0, 40, United-States, >50K
47, Private, 160440, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 55, United-States, >50K
30, Self-emp-not-inc, 243665, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, <=50K
45, Private, 387074, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
30, Private, 97933, Assoc-acdm, 12, Married-civ-spouse, Transport-moving, Wife, White, Female, 0, 1485, 37, United-States, >50K
18, Private, 32244, 11th, 7, Never-married, Handlers-cleaners, Own-child, White, Male, 594, 0, 30, United-States, <=50K
59, Private, 35411, HS-grad, 9, Widowed, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
26, Private, 291968, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1977, 40, United-States, >50K
54, Private, 234938, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 4064, 0, 55, United-States, <=50K
57, Private, 172291, HS-grad, 9, Divorced, Adm-clerical, Other-relative, Black, Female, 0, 0, 40, United-States, <=50K
51, Private, 200618, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
55, State-gov, 111130, Assoc-acdm, 12, Divorced, Adm-clerical, Own-child, Asian-Pac-Islander, Male, 0, 0, 40, United-States, <=50K
51, Federal-gov, 254211, Masters, 14, Widowed, Sales, Unmarried, White, Male, 0, 0, 50, El-Salvador, >50K
59, Private, 159008, Assoc-acdm, 12, Married-civ-spouse, Craft-repair, Husband, White, Male, 7298, 0, 20, United-States, >50K
30, ?, 101697, Bachelors, 13, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 20, United-States, <=50K
38, Private, 110607, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Male, 0, 0, 32, United-States, <=50K
22, Private, 269474, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 10, United-States, <=50K
39, State-gov, 85874, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
45, Self-emp-inc, 177543, HS-grad, 9, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 50, United-States, <=50K
26, Private, 137678, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
56, Local-gov, 267763, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 198663, HS-grad, 9, Never-married, Machine-op-inspct, Other-relative, White, Male, 0, 0, 40, United-States, <=50K
40, Private, 558944, 7th-8th, 4, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 40, United-States, <=50K
46, Private, 368561, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 55, United-States, >50K
19, ?, 140399, Some-college, 10, Never-married, ?, Other-relative, White, Female, 0, 0, 30, United-States, <=50K
38, Private, 136081, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
49, Private, 125421, HS-grad, 9, Married-civ-spouse, Craft-repair, Wife, White, Female, 0, 0, 40, United-States, >50K
29, Self-emp-not-inc, 29616, HS-grad, 9, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 65, United-States, <=50K
51, Self-emp-not-inc, 208003, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
17, Private, 99462, 11th, 7, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female, 0, 0, 20, United-States, <=50K
25, ?, 192321, Assoc-acdm, 12, Never-married, ?, Own-child, White, Female, 0, 0, 80, United-States, <=50K
20, State-gov, 126822, Some-college, 10, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 15, United-States, <=50K
33, State-gov, 313729, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K
36, Private, 206951, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 1902, 45, United-States, >50K
34, Private, 121966, Bachelors, 13, Married-spouse-absent, Adm-clerical, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K
43, Private, 173316, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
38, Private, 205852, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
46, Private, 175625, Prof-school, 15, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
22, Private, 359759, Some-college, 10, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 20, Philippines, <=50K
55, Local-gov, 219775, HS-grad, 9, Divorced, Other-service, Unmarried, White, Female, 0, 0, 38, United-States, <=50K
39, Private, 176186, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, >50K
35, Private, 229328, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female, 0, 0, 40, United-States, <=50K
59, Private, 184493, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
38, Private, 283293, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 40, United-States, <=50K
43, Private, 112607, 11th, 7, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, <=50K
34, Self-emp-not-inc, 250182, 11th, 7, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 60, United-States, <=50K
41, Local-gov, 173051, Some-college, 10, Divorced, Other-service, Unmarried, White, Female, 0, 0, 45, United-States, <=50K
20, Private, 316702, Some-college, 10, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 20, United-States, <=50K
36, Private, 188972, Some-college, 10, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
37, Local-gov, 312232, Bachelors, 13, Married-civ-spouse, Protective-serv, Husband, White, Male, 5178, 0, 40, United-States, >50K
21, Private, 169699, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
26, Private, 38232, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
42, Local-gov, 339671, Bachelors, 13, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female, 8614, 0, 45, United-States, >50K
21, Private, 118712, Assoc-voc, 11, Never-married, Craft-repair, Own-child, White, Male, 0, 1504, 40, United-States, <=50K
22, Private, 181773, HS-grad, 9, Never-married, Transport-moving, Own-child, Black, Male, 0, 0, 40, United-States, <=50K
17, Private, 47425, 11th, 7, Never-married, Other-service, Own-child, White, Female, 0, 0, 15, United-States, <=50K
39, Private, 288551, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 40, United-States, <=50K
34, Private, 176648, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, Black, Male, 0, 0, 42, United-States, <=50K
25, Private, 256620, Bachelors, 13, Separated, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
35, Private, 101978, HS-grad, 9, Separated, Transport-moving, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
35, Federal-gov, 128608, Bachelors, 13, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 40, United-States, <=50K
31, Private, 83425, Some-college, 10, Never-married, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
26, Private, 160261, Masters, 14, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 20, India, <=50K
24, Private, 179627, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
18, Private, 193290, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 1721, 20, United-States, <=50K
22, Private, 197613, Assoc-voc, 11, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K
43, Private, 188436, Prof-school, 15, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
29, Local-gov, 190330, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 10, United-States, <=50K
33, Private, 125249, HS-grad, 9, Separated, Protective-serv, Own-child, White, Female, 0, 0, 40, United-States, <=50K
33, Private, 339482, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
31, Private, 62932, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
28, State-gov, 158834, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
27, Private, 93235, HS-grad, 9, Never-married, Sales, Not-in-family, White, Male, 0, 0, 30, United-States, <=50K
23, Private, 183327, HS-grad, 9, Never-married, Craft-repair, Own-child, Black, Female, 0, 1594, 20, United-States, <=50K
25, Private, 159732, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
31, Federal-gov, 139455, Bachelors, 13, Never-married, Exec-managerial, Own-child, White, Female, 0, 0, 40, Cuba, <=50K
32, Private, 317378, Bachelors, 13, Never-married, Exec-managerial, Own-child, White, Female, 10520, 0, 40, United-States, >50K
54, Private, 169785, Some-college, 10, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, Italy, <=50K
43, Private, 105119, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
32, Private, 158291, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, >50K
38, Private, 130007, Bachelors, 13, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
21, Private, 176262, Some-college, 10, Never-married, Exec-managerial, Own-child, White, Female, 0, 0, 30, United-States, <=50K
44, Local-gov, 73199, Assoc-voc, 11, Divorced, Tech-support, Unmarried, Asian-Pac-Islander, Male, 0, 0, 40, United-States, <=50K
48, Private, 96359, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, Greece, >50K
51, Private, 138251, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 60, United-States, <=50K
33, Private, 201988, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, <=50K
57, ?, 199114, 10th, 6, Separated, ?, Not-in-family, White, Male, 0, 0, 30, United-States, <=50K
34, Private, 243776, HS-grad, 9, Divorced, Craft-repair, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
35, Private, 153790, Some-college, 10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female, 0, 0, 40, United-States, <=50K
38, Federal-gov, 325538, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
25, Private, 312338, Assoc-voc, 11, Never-married, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male, 0, 0, 40, United-States, <=50K
47, Private, 166634, Some-college, 10, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, Germany, <=50K
47, Private, 102318, HS-grad, 9, Separated, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
29, Private, 286452, Assoc-acdm, 12, Divorced, Sales, Unmarried, White, Female, 3418, 0, 40, United-States, <=50K
62, ?, 266037, Some-college, 10, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, <=50K
45, Self-emp-inc, 311231, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1485, 50, United-States, >50K
25, Private, 322585, HS-grad, 9, Never-married, Sales, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
35, Private, 237943, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 60, United-States, <=50K
43, Private, 245317, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, <=50K
17, ?, 303317, 11th, 7, Never-married, ?, Own-child, White, Male, 0, 0, 40, United-States, <=50K
69, Local-gov, 179813, 10th, 6, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 10, United-States, <=50K
55, Private, 175071, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, Black, Male, 15024, 0, 40, United-States, >50K
35, Private, 331395, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
33, Self-emp-not-inc, 195891, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, <=50K
38, Self-emp-inc, 124665, Bachelors, 13, Never-married, Craft-repair, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K
18, Private, 132986, 12th, 8, Never-married, Other-service, Own-child, White, Male, 0, 0, 10, United-States, <=50K
34, Private, 340880, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, Philippines, >50K
32, Private, 195891, Assoc-acdm, 12, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, >50K
60, Private, 199378, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
68, Self-emp-not-inc, 336329, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 10, United-States, <=50K
17, Private, 181580, 11th, 7, Never-married, Other-service, Own-child, White, Female, 0, 0, 16, United-States, <=50K
37, Private, 69251, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male, 0, 0, 40, United-States, <=50K
33, Private, 336061, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, <=50K
22, Private, 311764, 11th, 7, Widowed, Sales, Own-child, Black, Female, 0, 0, 35, United-States, <=50K
64, Private, 312242, Some-college, 10, Widowed, Exec-managerial, Not-in-family, White, Female, 0, 0, 3, United-States, <=50K
24, Private, 124963, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 30, United-States, <=50K
47, Private, 304857, Masters, 14, Separated, Tech-support, Not-in-family, White, Male, 27828, 0, 40, United-States, >50K
29, Self-emp-inc, 260729, HS-grad, 9, Married-civ-spouse, Sales, Wife, White, Female, 0, 1977, 25, United-States, >50K
32, Private, 37070, Assoc-voc, 11, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
30, Private, 149507, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 42, United-States, <=50K
28, Private, 187397, HS-grad, 9, Never-married, Other-service, Other-relative, Other, Male, 0, 0, 48, Mexico, <=50K
31, Private, 19302, Assoc-acdm, 12, Never-married, Adm-clerical, Not-in-family, White, Male, 2202, 0, 38, United-States, <=50K
24, Private, 50341, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
52, Private, 117295, 1st-4th, 2, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
50, Private, 98975, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 40, United-States, >50K
24, Private, 284317, Bachelors, 13, Never-married, Other-service, Own-child, White, Female, 0, 0, 30, United-States, <=50K
49, Private, 28334, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K
64, Private, 47298, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
24, Private, 208882, HS-grad, 9, Never-married, Craft-repair, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
62, ?, 250091, Bachelors, 13, Divorced, ?, Not-in-family, White, Male, 0, 0, 5, United-States, <=50K
55, Private, 197422, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 7688, 0, 40, United-States, >50K
48, Private, 168283, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 45, United-States, >50K
46, Private, 154405, 10th, 6, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 45, United-States, <=50K
44, Private, 85604, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
34, Private, 300687, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 40, United-States, <=50K
29, Private, 126060, HS-grad, 9, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 40, United-States, >50K
26, Private, 97153, Assoc-acdm, 12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 5178, 0, 40, United-States, >50K
24, Private, 139989, Bachelors, 13, Never-married, Sales, Own-child, Black, Male, 0, 0, 40, United-States, <=50K
